Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,181.091,181.091,screen dark,50.58490961220001
0,181.091,181.091,wifi running,1.1818904115000002
0.0,2.1942219999998542,2.1942219999998542,core 0 cpu_idle start,0.05919177151639606
2.1942219999998542,181.84799999999996,179.6537780000001,core 0 cpu_idle,4.846376246083603
0.0,2.194087999999965,2.194087999999965,core 1 cpu_idle start,0.05918815670559906
2.194087999999965,181.84799999999996,179.653912,core 1 cpu_idle,4.8463798608944
0.0,2.30637999999999,2.30637999999999,core 2 cpu_idle start,0.06221736815599973
2.30637999999999,181.84799999999996,179.54161999999997,core 2 cpu_idle,4.843350649443999
0.0,2.252128999999968,2.252128999999968,core 3 cpu_idle start,0.060753882329799135
2.252128999999968,181.84799999999996,179.595871,core 3 cpu_idle,4.8448141352702
0.0,2.2492399999998725,2.2492399999998725,core 4 cpu_idle start,0.060675948087996555
2.2492399999998725,181.84799999999996,179.59876000000008,core 4 cpu_idle,4.844892069512002
0.0,3.6607819999999265,3.6607819999999265,core 5 cpu_idle start,0.09875398738839801
3.6607819999999265,181.84799999999996,178.18721800000003,core 5 cpu_idle,4.8068140302116005
