Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,180.619,180.619,screen dark,51.22997843640001
0.0,1.8707500000000437,1.8707500000000437,core 0 cpu_idle start,0.051242835700001196
1.8707500000000437,1.9732470000000149,0.1024969999999712,core 0 cpu_idle,0.0028075568251992107
1.9732470000000149,1.974766000000045,0.0015190000000302462,core 0 cpu_frequency,None
1.974766000000045,2.033105999999975,0.058339999999930114,core 0 cpu_idle,0.0015980259439980857
2.033105999999975,2.0331790000000183,7.300000004306639e-05,core 0 cpu_frequency,None
2.0331790000000183,2.0569639999999936,0.023784999999975298,core 0 cpu_idle,0.0006515092059993234
2.0569639999999936,2.0577670000000126,0.000803000000018983,core 0 cpu_frequency,None
2.0577670000000126,2.0579520000000002,0.00018499999998766725,core 0 cpu_idle,5.067445999662186e-06
2.0579520000000002,2.0582749999999805,0.00032299999998031126,core 0 cpu_frequency,None
2.0582749999999805,2.0993399999999838,0.04106500000000324,core 0 cpu_idle,0.0011248360540000886
2.0993399999999838,2.0994610000000193,0.00012100000003556488,core 0 cpu_frequency,None
2.0994610000000193,2.114471999999978,0.015010999999958585,core 0 cpu_idle,0.00041117530759886555
2.114471999999978,2.1145199999999704,4.799999999249849e-05,core 0 cpu_frequency,None
2.1145199999999704,2.132847999999967,0.01832799999999679,core 0 cpu_idle,0.000502033244799912
2.132847999999967,2.133087000000046,0.00023900000007870403,core 0 cpu_frequency,None
2.133087000000046,2.133711999999946,0.0006249999998999556,core 0 cpu_frequency,None
2.133711999999946,2.143324000000007,0.009612000000061016,core 0 cpu_frequency,None
2.143324000000007,2.153059999999982,0.00973599999997532,core 0 cpu_idle,0.00026668461759932395
2.153059999999982,2.153214000000048,0.00015400000006593473,core 0 cpu_frequency,None
2.153214000000048,2.17307100000005,0.01985700000000179,core 0 cpu_idle,0.000543915001200049
2.17307100000005,2.173212000000035,0.00014099999998506973,core 0 cpu_frequency,None
2.173212000000035,2.193080000000009,0.019867999999974018,core 0 cpu_idle,0.0005442163087992883
2.193080000000009,2.1992079999999987,0.006127999999989697,core 0 cpu_frequency,None
2.1992079999999987,2.738130999999953,0.5389229999999543,core 0 cpu_idle,0.014761963246798748
2.738130999999953,2.738148000000024,1.7000000070765964e-05,core 0 cpu_frequency,None
2.738148000000024,2.747551000000044,0.009403000000020256,core 0 cpu_idle,0.0002575632148005548
2.747551000000044,2.74823200000003,0.0006809999999859428,core 0 cpu_frequency,None
2.74823200000003,2.75305800000001,0.004825999999980013,core 0 cpu_idle,0.00013219186159945252
2.75305800000001,2.756554000000051,0.003496000000041022,core 0 cpu_frequency,None
2.756554000000051,2.7634329999999636,0.006878999999912594,core 0 cpu_idle,0.0001884268163976058
2.7634329999999636,2.7636139999999614,0.00018099999999776628,core 0 cpu_frequency,None
2.7636139999999614,2.7758310000000392,0.01221700000007786,core 0 cpu_idle,0.0003346431772021327
2.7758310000000392,2.7763210000000527,0.0004900000000134241,core 0 cpu_frequency,None
2.7763210000000527,2.8331080000000384,0.05678699999998571,core 0 cpu_idle,0.0015554867891996085
2.8331080000000384,2.8351259999999456,0.0020179999999072606,core 0 cpu_frequency,None
2.8351259999999456,2.855134000000021,0.0200080000000753,core 0 cpu_idle,0.0005480511328020626
2.855134000000021,2.8564139999999725,0.0012799999999515421,core 0 cpu_frequency,None
2.8564139999999725,2.873051000000032,0.016637000000059743,core 0 cpu_idle,0.00045571404920163644
2.873051000000032,2.8732029999999895,0.0001519999999572974,core 0 cpu_frequency,None
2.8732029999999895,2.896484999999984,0.023281999999994696,core 0 cpu_idle,0.0006377312311998547
2.896484999999984,2.9162710000000516,0.01978600000006736,core 0 cpu_frequency,None
2.9162710000000516,3.744299999999953,0.8280289999999013,core 0 cpu_idle,0.022681039156397294
3.744299999999953,3.7509430000000066,0.006643000000053689,core 0 cpu_frequency,None
3.7509430000000066,3.7531159999999772,0.0021729999999706706,core 0 cpu_frequency,None
3.7531159999999772,3.758328000000006,0.005212000000028638,core 0 cpu_frequency,None
3.758328000000006,4.0331200000000536,0.27479200000004766,core 0 cpu_idle,0.007526992547201305
4.0331200000000536,4.033251999999948,0.0001319999998941057,core 0 cpu_frequency,None
4.033251999999948,4.053307000000018,0.020055000000070322,core 0 cpu_idle,0.0005493385380019262
4.053307000000018,4.070851999999945,0.017544999999927313,core 0 cpu_frequency,None
4.070851999999945,4.4411139999999705,0.3702620000000252,core 0 cpu_idle,0.01014206859920069
4.4411139999999705,4.441280000000006,0.00016600000003563764,core 0 cpu_frequency,None
4.441280000000006,4.468311999999969,0.027031999999962864,core 0 cpu_idle,0.0007404497311989828
4.468311999999969,4.4938150000000405,0.025503000000071552,core 0 cpu_frequency,None
4.4938150000000405,4.5678799999999455,0.07406499999990501,core 0 cpu_idle,0.002028758853997398
4.5678799999999455,4.568513000000053,0.0006330000001071312,core 0 cpu_frequency,None
4.568513000000053,4.616708000000017,0.04819499999996424,core 0 cpu_idle,0.0013201381619990203
4.616708000000017,4.616888000000017,0.00018000000000029104,core 0 cpu_frequency,None
4.616888000000017,4.624696999999969,0.007808999999951993,core 0 cpu_idle,0.000213901004398685
4.624696999999969,4.625543999999991,0.0008470000000215805,core 0 cpu_frequency,None
4.625543999999991,4.646286000000032,0.020742000000041116,core 0 cpu_idle,0.0005681565672011262
4.646286000000032,4.646926000000008,0.0006399999999757711,core 0 cpu_frequency,None
4.646926000000008,4.753108999999995,0.10618299999998726,core 0 cpu_idle,0.0029085222627996507
4.753108999999995,4.7669819999999845,0.013872999999989588,core 0 cpu_frequency,None
4.7669819999999845,4.874639999999999,0.10765800000001491,core 0 cpu_frequency,None
4.874639999999999,4.893103999999994,0.018463999999994485,core 0 cpu_idle,0.0005057585023998489
4.893103999999994,4.89401399999997,0.0009099999999762076,core 0 cpu_frequency,None
4.89401399999997,5.273179000000027,0.37916500000005726,core 0 cpu_idle,0.010385936014001567
5.273179000000027,5.282880999999975,0.009701999999947475,core 0 cpu_frequency,None
5.282880999999975,5.293102999999974,0.010221999999998843,core 0 cpu_idle,0.0002799969351999683
5.293102999999974,5.299118000000021,0.006015000000047621,core 0 cpu_frequency,None
5.299118000000021,5.313360999999986,0.014242999999964923,core 0 cpu_idle,0.00039013855879903916
5.313360999999986,5.313751000000025,0.0003900000000385262,core 0 cpu_frequency,None
5.313751000000025,6.093106000000034,0.7793550000000096,core 0 cpu_idle,0.02134778041800026
6.093106000000034,6.099018999999998,0.005912999999964086,core 0 cpu_frequency,None
6.099018999999998,6.13339899999994,0.0343799999999419,core 0 cpu_idle,0.0009417232079984085
6.13339899999994,6.133490000000052,9.10000001113076e-05,core 0 cpu_frequency,None
6.133490000000052,6.7874910000000455,0.6540009999999938,core 0 cpu_idle,0.01791413379159983
6.7874910000000455,6.787625000000048,0.00013400000000274304,core 0 cpu_frequency,None
6.787625000000048,6.793097999999986,0.005472999999938111,core 0 cpu_idle,0.00014991422679830473
6.793097999999986,6.793556999999964,0.0004589999999780048,core 0 cpu_frequency,None
6.793556999999964,8.105520999999953,1.311963999999989,core 0 cpu_idle,0.035936793102399694
8.105520999999953,8.10610799999995,0.0005869999999958964,core 0 cpu_frequency,None
8.10610799999995,8.133072999999968,0.026965000000018335,core 0 cpu_idle,0.0007386144940005022
8.133072999999968,8.13347299999998,0.0004000000000132786,core 0 cpu_frequency,None
8.13347299999998,9.033120000000054,0.8996470000000727,core 0 cpu_idle,0.02464277076520199
9.033120000000054,9.03722300000004,0.004102999999986423,core 0 cpu_frequency,None
9.03722300000004,9.053331999999955,0.016108999999914886,core 0 cpu_idle,0.0004412512843976686
9.053331999999955,9.053487000000018,0.00015500000006340997,core 0 cpu_frequency,None
9.053487000000018,9.113109000000009,0.059621999999990294,core 0 cpu_idle,0.001633141975199734
9.113109000000009,9.133314000000041,0.02020500000003267,core 0 cpu_frequency,None
9.133314000000041,9.432784999999967,0.2994709999999259,core 0 cpu_idle,0.00820298984359797
9.432784999999967,9.432861000000003,7.600000003549212e-05,core 0 cpu_frequency,None
9.432861000000003,9.449656000000004,0.016795000000001892,core 0 cpu_idle,0.0004600419220000518
9.449656000000004,9.449778000000038,0.00012200000003304012,core 0 cpu_frequency,None
9.449778000000038,9.493062000000009,0.043283999999971456,core 0 cpu_idle,0.0011856180143992182
9.493062000000009,9.493078999999966,1.6999999957079126e-05,core 0 cpu_frequency,None
9.493078999999966,9.51307399999996,0.019994999999994434,core 0 cpu_idle,0.0005476950419998475
9.51307399999996,9.513473999999974,0.0004000000000132786,core 0 cpu_frequency,None
9.513473999999974,9.537114999999972,0.023640999999997803,core 0 cpu_idle,0.0006475648155999398
9.537114999999972,9.537249999999972,0.00013500000000021828,core 0 cpu_frequency,None
9.537249999999972,9.53762400000005,0.0003740000000789223,core 0 cpu_frequency,None
9.53762400000005,9.537720000000036,9.599999998499698e-05,core 0 cpu_frequency,None
9.537720000000036,9.53796699999998,0.00024699999994481914,core 0 cpu_frequency,None
9.53796699999998,9.538232999999991,0.0002660000000105356,core 0 cpu_frequency,None
9.538232999999991,9.538677000000007,0.00044400000001587614,core 0 cpu_idle,1.2161870400434872e-05
9.538677000000007,9.539506999999958,0.0008299999999508145,core 0 cpu_frequency,None
9.539506999999958,9.540092999999956,0.0005859999999984211,core 0 cpu_idle,1.605147759995675e-05
9.540092999999956,9.541454000000044,0.0013610000000880973,core 0 cpu_frequency,None
9.541454000000044,9.54176700000005,0.00031300000000555883,core 0 cpu_frequency,None
9.54176700000005,9.544205000000034,0.002437999999983731,core 0 cpu_frequency,None
9.544205000000034,9.54857800000002,0.00437299999998686,core 0 cpu_idle,0.00011978346679964005
9.54857800000002,9.548678999999993,0.00010099999997237319,core 0 cpu_frequency,None
9.548678999999993,9.548838000000046,0.00015900000005331094,core 0 cpu_frequency,None
9.548838000000046,9.548950999999988,0.0001129999999420761,core 0 cpu_frequency,None
9.548950999999988,9.549300000000017,0.0003490000000283544,core 0 cpu_idle,9.559668400776671e-06
9.549300000000017,9.550051000000053,0.0007510000000365835,core 0 cpu_frequency,None
9.550051000000053,9.550791000000004,0.000739999999950669,core 0 cpu_idle,2.0269783998648745e-05
9.550791000000004,9.550857999999948,6.69999999445281e-05,core 0 cpu_frequency,None
9.550857999999948,9.550880000000006,2.2000000058142177e-05,core 0 cpu_frequency,None
9.550880000000006,9.55090800000005,2.8000000042993634e-05,core 0 cpu_idle,7.669648011776643e-07
9.55090800000005,9.551015000000007,0.00010699999995722465,core 0 cpu_frequency,None
9.551015000000007,9.551367000000027,0.00035200000002078013,core 0 cpu_idle,9.6418432005692e-06
9.551367000000027,9.55145600000003,8.900000000267028e-05,core 0 cpu_frequency,None
