Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,180.306,180.306,screen dark,48.0505032252
0,180.306,180.306,wifi running,1.1226753090000001
0,180.306,180.306,gps,34.279019434800006
0.0,2.0194299999993746,2.0194299999993746,core 0 cpu_idle start,0.0519724543659839
2.0194299999993746,181.85599999999977,179.8365700000004,core 0 cpu_idle,4.62830993283401
0.0,2.015855999999985,2.015855999999985,core 1 cpu_idle start,0.05188047318719961
2.015855999999985,181.85599999999977,179.84014399999978,core 1 cpu_idle,4.628401914012794
0.0,2.023992999999791,2.023992999999791,core 2 cpu_idle start,0.05208988864659462
2.023992999999791,181.85599999999977,179.83200699999998,core 2 cpu_idle,4.628192498553399
0.0,2.0196219999997993,2.0196219999997993,core 3 cpu_idle start,0.05197739571639483
2.0196219999997993,181.85599999999977,179.83637799999997,core 3 cpu_idle,4.628304991483598
0.0,2.734998999999334,2.734998999999334,core 4 cpu_idle start,0.07038848126378286
2.734998999999334,181.85599999999977,179.12100100000043,core 4 cpu_idle,4.609893905936211
0.0,4.115238999999747,4.115238999999747,core 5 cpu_idle start,0.10591061395179346
4.115238999999747,181.85599999999977,177.74076100000002,core 5 cpu_idle,4.5743717732482
