Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,181.048,181.048,screen dark,49.829008219200006
0,181.048,181.048,wifi running,1.164229164
0.0,1.9552639999999428,1.9552639999999428,core 0 cpu_idle start,0.05196974396159848
1.9552639999999428,182.00999999999976,180.05473599999982,core 0 cpu_idle,4.785746850038395
0.0,1.9550779999999577,1.9550779999999577,core 1 cpu_idle start,0.05196480019319887
1.9550779999999577,182.00999999999976,180.0549219999998,core 1 cpu_idle,4.785751793806795
0.0,1.964328999999907,1.964328999999907,core 2 cpu_idle start,0.05221068622259752
1.964328999999907,182.00999999999976,180.04567099999986,core 2 cpu_idle,4.785505907777396
0.0,2.051780000000008,2.051780000000008,core 3 cpu_idle start,0.05453508133200021
2.051780000000008,182.00999999999976,179.95821999999976,core 3 cpu_idle,4.783181512667993
0.0,2.768391999999949,2.768391999999949,core 4 cpu_idle start,0.07358219832479863
2.768391999999949,182.00999999999976,179.24160799999981,core 4 cpu_idle,4.764134395675195
0.0,4.187321999999995,4.187321999999995,core 5 cpu_idle start,0.11129650636679986
4.187321999999995,182.00999999999976,177.82267799999977,core 5 cpu_idle,4.726420087633194
