Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,180.903,180.903,screen dark,50.288501358
0,180.903,180.903,wifi running,1.174964985
0.0,2.019014999999854,2.019014999999854,core 0 cpu_idle start,0.054202476689996074
2.019014999999854,181.91499999999996,179.8959850000001,core 0 cpu_idle,4.829487613310002
0.0,2.0205150000001595,2.0205150000001595,core 1 cpu_idle start,0.05424274569000428
2.0205150000001595,181.91499999999996,179.8944849999998,core 1 cpu_idle,4.829447344309995
0.0,2.021821999999702,2.021821999999702,core 2 cpu_idle start,0.054277833411991994
2.021821999999702,181.91499999999996,179.89317800000026,core 2 cpu_idle,4.829412256588006
0.0,2.0190670000001774,2.0190670000001774,core 3 cpu_idle start,0.05420387268200476
2.0190670000001774,181.91499999999996,179.8959329999998,core 3 cpu_idle,4.829486217317994
0.0,2.547196999999869,2.547196999999869,core 4 cpu_idle start,0.06838205066199649
2.547196999999869,181.91499999999996,179.3678030000001,core 4 cpu_idle,4.815308039338002
0.0,3.8706649999994625,3.8706649999994625,core 5 cpu_idle start,0.10391187258998556
3.8706649999994625,181.91499999999996,178.0443350000005,core 5 cpu_idle,4.779778217410013
