Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,180.344,180.344,screen dark,51.1404005616
0.0,1.8474649999998292,1.8474649999998292,core 0 cpu_idle start,0.050593568010995314
1.8474649999998292,1.9641869999995833,0.11672199999975419,core 0 cpu_idle,0.003196478658793268
1.9641869999995833,1.9747919999999795,0.010605000000396103,core 0 cpu_frequency,None
1.9747919999999795,2.0243799999998373,0.04958799999985786,core 0 cpu_idle,0.0013579872151961072
2.0243799999998373,2.0246420000003127,0.00026200000047538197,core 0 cpu_frequency,None
2.0246420000003127,2.04424199999994,0.01959999999962747,core 0 cpu_idle,0.000536753839989798
2.04424199999994,2.0444440000001123,0.00020200000017212005,core 0 cpu_frequency,None
2.0444440000001123,2.0854929999995875,0.0410489999994752,core 0 cpu_idle,0.001124143284585628
2.0854929999995875,2.0858680000001186,0.0003750000005311449,core 0 cpu_frequency,None
2.0858680000001186,2.3347679999997126,0.248899999999594,core 0 cpu_idle,0.006816226059988881
2.3347679999997126,2.335772000000361,0.0010040000006483751,core 0 cpu_frequency,None
2.335772000000361,2.352452000000085,0.016679999999723805,core 0 cpu_idle,0.00045678847199243626
2.352452000000085,2.3527649999996356,0.0003129999995508115,core 0 cpu_frequency,None
2.3527649999996356,2.6317419999995764,0.27897699999994074,core 0 cpu_idle,0.007639896735798376
2.6317419999995764,2.6319180000000415,0.00017600000046513742,core 0 cpu_frequency,None
2.6319180000000415,2.64420599999994,0.012287999999898602,core 0 cpu_idle,0.0003365117951972231
2.64420599999994,2.6443929999995817,0.00018699999964155722,core 0 cpu_frequency,None
2.6443929999995817,2.7353949999996985,0.09100200000011682,core 0 cpu_idle,0.002492126170803199
2.7353949999996985,2.735569000000396,0.0001740000006975606,core 0 cpu_frequency,None
2.735569000000396,2.7442080000000715,0.008638999999675434,core 0 cpu_idle,0.00023658247059111162
2.7442080000000715,2.7448519999998098,0.0006439999997382984,core 0 cpu_frequency,None
2.7448519999998098,2.7887970000001587,0.043945000000348955,core 0 cpu_idle,0.0012034514030095562
2.7887970000001587,2.788821000000098,2.3999999939405825e-05,core 0 cpu_frequency,None
2.788821000000098,2.804414000000179,0.015593000000080792,core 0 cpu_idle,0.0004270205422022125
