Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,180.271,180.271,screen dark,51.13127324760001
4.212,4.813,0.601,wifi scan,0.030535007
4.813,180.271,175.458,wifi running,1.162760166
0.0,1.5220509999999194,1.5220509999999194,core 0 cpu_idle start,0.04169141217159779
1.5220509999999194,2.033354999999574,0.5113039999996545,core 0 cpu_idle,0.014005434646390535
2.033354999999574,2.0416949999998906,0.00834000000031665,core 0 cpu_frequency,None
2.0416949999998906,2.0635810000003403,0.021886000000449712,core 0 cpu_idle,0.0005994925576123183
2.0635810000003403,2.0636780000004364,9.700000009615906e-05,core 0 cpu_frequency,None
2.0636780000004364,4.63892400000077,2.575246000000334,core 0 cpu_idle,0.07054010833360914
4.63892400000077,4.639213000000382,0.00028899999961140566,core 0 cpu_frequency,None
4.639213000000382,4.695499999999811,0.0562869999994291,core 0 cpu_idle,0.001541790989184362
4.695499999999811,4.695622999999614,0.0001229999998031417,core 0 cpu_frequency,None
4.695622999999614,4.77961200000027,0.08398900000065623,core 0 cpu_idle,0.0023005930924179753
4.77961200000027,4.779930999999124,0.0003189999988535419,core 0 cpu_frequency,None
4.779930999999124,4.78671199999917,0.006781000000046333,core 0 cpu_idle,0.00018574243960126912
4.78671199999917,4.786767999999938,5.6000000768108293e-05,core 0 cpu_frequency,None
4.786767999999938,4.803402999999889,0.016634999999951106,core 0 cpu_idle,0.0004556592659986607
4.803402999999889,4.891367000000173,0.0879640000002837,core 0 cpu_frequency,None
4.891367000000173,4.903345999999146,0.01197899999897345,core 0 cpu_idle,0.0003281239763718811
4.903345999999146,4.915058000000499,0.011712000001352862,core 0 cpu_frequency,None
4.915058000000499,4.9190400000006775,0.003982000000178232,core 0 cpu_idle,0.00010907335120488205
4.9190400000006775,4.919620000000577,0.0005799999998998828,core 0 cpu_frequency,None
4.919620000000577,4.922850000000835,0.00323000000025786,core 0 cpu_idle,8.847486800706319e-05
4.922850000000835,4.923359000000346,0.0005089999995107064,core 0 cpu_frequency,None
4.923359000000346,4.924027999999453,0.0006689999991067452,core 0 cpu_frequency,None
4.924027999999453,5.031557000000248,0.10752900000079535,core 0 cpu_idle,0.0029453913564217856
5.031557000000248,5.031611000000339,5.400000009103678e-05,core 0 cpu_frequency,None
5.031611000000339,5.045500000000175,0.013888999999835505,core 0 cpu_idle,0.0003804419323954942
5.045500000000175,5.046519999999873,0.0010199999996984843,core 0 cpu_frequency,None
5.046519999999873,5.333349000000453,0.28682900000058,core 0 cpu_idle,0.007856705236415885
5.333349000000453,5.340990999999121,0.007641999998668325,core 0 cpu_frequency,None
5.340990999999121,5.363348000000769,0.022357000001647975,core 0 cpu_idle,0.0006123940012451406
5.363348000000769,5.366422999999486,0.003074999998716521,core 0 cpu_frequency,None
5.366422999999486,6.243463000000702,0.877040000001216,core 0 cpu_idle,0.024023528864033306
6.243463000000702,6.256761000000552,0.013297999999849708,core 0 cpu_frequency,None
6.256761000000552,6.257018000000244,0.0002569999996921979,core 0 cpu_idle,7.0396411915688075e-06
6.257018000000244,6.2576740000004065,0.0006560000001627486,core 0 cpu_frequency,None
6.2576740000004065,6.264375000000655,0.006701000000248314,core 0 cpu_idle,0.0001835511116068017
6.264375000000655,6.264397999999346,2.2999998691375367e-05,core 0 cpu_frequency,None
6.264397999999346,6.284261000000697,0.019863000001350883,core 0 cpu_idle,0.0005440793508370028
6.284261000000697,6.353902000000744,0.06964100000004692,core 0 cpu_frequency,None
6.353902000000744,6.829180999999153,0.47527899999840884,core 0 cpu_idle,0.013018652256356416
6.829180999999153,6.829578000000765,0.0003970000016124686,core 0 cpu_frequency,None
6.829578000000765,6.843584000000192,0.014005999999426422,core 0 cpu_idle,0.00038364674958428876
6.843584000000192,6.844051000000036,0.0004669999998441199,core 0 cpu_frequency,None
6.844051000000036,9.09335800000008,2.2493070000000444,core 0 cpu_idle,0.06161211762120121
9.09335800000008,9.103565999999773,0.01020799999969313,core 0 cpu_frequency,None
9.103565999999773,9.45672100000047,0.35315500000069733,core 0 cpu_idle,0.0096734804980191
9.45672100000047,9.456995000000461,0.00027399999999033753,core 0 cpu_frequency,None
9.456995000000461,9.457071999999243,7.699999878241215e-05,core 0 cpu_frequency,None
9.457071999999243,9.471158000000287,0.01408600000104343,core 0 cpu_idle,0.0003858380776285812
9.471158000000287,9.471401999999216,0.00024399999892921187,core 0 cpu_frequency,None
9.471401999999216,9.483784000000014,0.012382000000798143,core 0 cpu_idle,0.0003391627912218624
9.483784000000014,9.483831999999893,4.799999987881165e-05,core 0 cpu_frequency,None
9.483831999999893,9.506690000000162,0.022858000000269385,core 0 cpu_idle,0.0006261171928073788
9.506690000000162,9.506772000000637,8.200000047509093e-05,core 0 cpu_frequency,None
9.506772000000637,9.523354999999356,0.01658299999871815,core 0 cpu_idle,0.0004542349027648881
9.523354999999356,9.523380000000543,2.5000001187436283e-05,core 0 cpu_frequency,None
9.523380000000543,9.543352000000596,0.019972000000052503,core 0 cpu_idle,0.0005470650352014381
9.543352000000596,9.543841999999131,0.0004899999985354953,core 0 cpu_frequency,None
9.543841999999131,9.544031999999788,0.0001900000006571645,core 0 cpu_idle,5.2044040180007865e-06
9.544031999999788,9.544169999999212,0.00013799999942420982,core 0 cpu_frequency,None
