Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,181.01,181.01,screen dark,50.562283542
0,181.01,181.01,wifi running,1.181361765
0.0,2.1193610000000263,2.1193610000000263,core 0 cpu_idle start,0.057172306208200706
2.1193610000000263,182.05499999999938,179.93563899999936,core 0 cpu_idle,4.8539797847917825
0.0,2.119644999999764,2.119644999999764,core 1 cpu_idle start,0.05717996744899363
2.119644999999764,182.05499999999938,179.93535499999962,core 1 cpu_idle,4.85397212355099
0.0,2.120111999999608,2.120111999999608,core 2 cpu_idle start,0.05719256533438943
2.120111999999608,182.05499999999938,179.93488799999977,core 2 cpu_idle,4.853959525665593
0.0,2.121288999999706,2.121288999999706,core 3 cpu_idle start,0.05722431632179207
2.121288999999706,182.05499999999938,179.93371099999968,core 3 cpu_idle,4.853927774678191
0.0,2.78573200000028,2.78573200000028,core 4 cpu_idle start,0.07514846357840756
2.78573200000028,182.05499999999938,179.2692679999991,core 4 cpu_idle,4.836003627421576
0.0,2.123059999999896,2.123059999999896,core 5 cpu_idle start,0.057272091171997185
2.123059999999896,182.05499999999938,179.93193999999949,core 5 cpu_idle,4.853879999827986
